Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
MOONSAMY,MAGDALENE, Ms,National,EFF,National Assembly,,Member,2014-05-21,future
MORAPELA,KGOTSO ZACHARIAH, Mr,FS,EFF,National Assembly,Free State,Member,2014-05-21,future
MORUTOA,MASEFELE ROSALIA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MOSALA,ITUMELENG, Mr,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MOTAU,SEJAMOTOPO CHARLES, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
Moteka,Pebane George,Mr,National,EFF,National Assembly,,Member,2014-05-21,future
MOTHAPO,MADIPOANE REFILOE MOREMADI, Mrs,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MOTIMELE,MALUSI STANLEY, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MOTSHEKGA,MATSIE ANGELINA, Mrs,National,ANC,National Assembly,,Member,2014-05-21,future
MOTSHEKGA,MATHOLE SEROFO, Dr,National,ANC,National Assembly,,Member,2014-05-21,future
MOTSOALEDI,PAKISHE AARON, Dr,National,ANC,National Assembly,,Member,2014-05-21,future
MPHETHI,SEROPANE SENYANE ALTON, Mr,National,PAC,National Assembly,,Member,2014-05-21,future
MPONTSHANE,ALFRED MKHIPHENI, Mr,KZN,IFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MSIBI,VERONICA ZANELE, Ms,National,NFP,National Assembly,,Member,2014-05-21,future
MTHEMBU,JACKSON MPHIKWA, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
