Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,19,IMAMILE AUBIN,PIKININI,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Regional: Eastern Cape,1,ANNETTE THERESA,LOVEMORE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Regional: Eastern Cape,2,BENNET MZWENQABA,BHANGA,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Regional: Eastern Cape,3,YUSUF,CASSIM,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Regional: Eastern Cape,4,MALCOLM JOHN,FIGG,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
ECONOMIC FREEDOM FIGHTERS,Regional: Eastern Cape,1,ASANDA,MATSHOBENI,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Regional: Eastern Cape,1,MNCEDISI LUTANDO WELLINGTON,FILTANE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Regional: Eastern Cape,2,LENNOX BOGEN,GAEHLER,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Free State,1,MAKHOTSO MAGDELINE,SOTYU,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,2,LEFU PETER,KHOARAI,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,3,NTHABISENG PAULINE,KHUNOU,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,4,MADALA LOUIS DAVID,NTOMBELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,5,SIBONGILE PEARM,TSOLELI,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,6,TETE RAMALIE JONAS EZEKIEL,RAMOKHOASE,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,7,MAUREEN ANGELA,SCHEEPERS,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Free State,8,BHEKIZIZWE ABRAM,RADEBE,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Regional: Free State,1,DAVID CHRISTIE,ROSS,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Regional: Free State,2,NOMSA INNOCENCIA,TARABELLA MARCHESI,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
ECONOMIC FREEDOM FIGHTERS,Regional: Free State,1,KGOTSO ZACHARIAH,MORAPELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,1,SHIPOKOSA PAULUS,MASHATILE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,2,NKOSIYAKHE AMOS,MASONDO,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,3,GERHARDUS WILLEM,KOORNHOF,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,4,LINDIWE MICHELLE,MASEKO,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,5,XITLHANGOMA,MABASA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,6,JOANMARIAE LOUISE,FUBBS,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,7,MAMONARE PATRICIA,CHUEU,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,8,MZAMENI RICHARD,MDAKANE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,9,MAAPI ANGELINA,MOLEBATSI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,10,CLAUDIA NONHLANHLA,NDABA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,11,DEBORAH DINEO,RAPHUTI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,12,MAESELA DAVID,KEKANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,13,STRIKE MICHAEL,RALEGOMA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,14,BERTHA PEACE,MABE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,15,MMAMOLOKO TRYPHOSA,KUBAYI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,16,MAKGATHATSO CHARLOTTE CHANA,PILANE-MAJAKE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,17,DIKELEDI REBECCA,TSOTETSI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,18,EZEKIEL,KEKANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,19,DAVID DOUGLAS DES,VAN ROOYEN                                   ,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,20,GRATITUDE,MAGWANISHE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,21,PATRICK,MAESELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,22,SELLO ALBERT,TLEANE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,23,ELIZABETH,THABETHE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,24,CHARLES DANNY,KEKANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,25,MASEFELE ROSALIA,MORUTOA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,26,VINCENT GEORGE,SMITH,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: Gauteng,27,VELHELMINA PULANI,MOGOTSI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,1,MMUSI ALOYSIAS,MAIMANE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,2,SEJAMOTOPO CHARLES,MOTAU,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,3,MICHAEL,WATERS,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,4,HEINRICH CYRIL,VOLMINK,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,5,GORDON,MACKAY,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,6,MARIUS HELENIS,REDELINGHUYS,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,7,TSEPO WINSTON,MHLONGO,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,8,ROGER WILLIAM TOBIAS,CHANCE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,9,PATRICK GEORGE,ATKINSON,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,10,Manuel Simão Franca,De Freitas,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,11,ALAN ROSS,MCLOUGHLIN,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,12,HENDRIK CORNELUS,SCHMIDT,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,13,BELINDA,VAN ONSELEN,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Regional: Gauteng,14,KENNETH SILILO,MUBU,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Regional: Gauteng,1,KHANYISILE,LITCHFIELD-TSHABALALA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Regional: Gauteng,2,DILIZA LUCKY,TWALA,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Regional: Gauteng,3,KHUMBUZA,BAVU,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Regional: Gauteng,4,MMELI JULIUS,MDLULI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
ECONOMIC FREEDOM FIGHTERS,Regional: Gauteng,5,REBECCA GETRUDE MMAMOKGOLO,MONCHUSI,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
INKATHA FREEDOM PARTY,Regional: Gauteng,1,KHETHAMABALA PETROS,SITHOLE,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
VRYHEIDSFRONT PLUS,Regional: Gauteng,1,FREDERIK JACOBUS,MULDER,National Assembly,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,1,BHEKOKWAKHE HAMILTON,CELE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,2,SAHLULELE,LUZIPO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,3,CELIWE QHAMKILE,MADLOPHA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,4,LUNGI ANNETTE,MNGANGA - GCABASHE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,5,MOSIE ANTONY,CELE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,6,NOMALUNGELO,GINA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,7,MAKHOSI BUSISIWE,KHOZA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,8,ZEPHROMA SIZANI,DLAMINI-DUBAZANA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,9,DENNIS DUMISANI,GAMEDE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,10,NOSILIVERE WINIFRED,MAGADLA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,11,MERVYN ALEXANDER,DIRKS,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,12,REGINA MINA MPONTSENG,LESOMA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,13,NDABAKAYISE ERASMUS,GCWABAZA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,14,THANDI CECILIA,MEMELA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,15,ENOCK MUZI,MTHETHWA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,16,BARBARA,THOMSON,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,17,SIMPHIWE DONATUS,BEKWA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,18,BONGEKILE JABULILE,DLOMO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,19,PHUMZILE,BHENGU,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,20,JOHN HAROLD,JEFFERY,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,21,NHLANHLA MUSA,NENE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,22,LUWELLYN TYRONE,LANDERS,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,23,BEATRICE THEMBEKILE,NGCOBO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,24,SIBONGILE,MCHUNU,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,25,LINDIWE NTOMBIKAYISE,MJOBO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,26,DONALD MLINDWA,GUMEDE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: KwaZulu-Natal,27,TREVOR JOHN,BONHOMME,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Regional: KwaZulu-Natal,1,LINDIWE DESIRE,MAZIBUKO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Regional: KwaZulu-Natal,2,JOHN HENRY,STEENHUISEN,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Regional: KwaZulu-Natal,3,SANTOSH VINITA,KALYAN,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Regional: KwaZulu-Natal,4,DEAN WILLIAM,MACPHERSON,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
DEMOCRATIC ALLIANCE,Regional: KwaZulu-Natal,5,TIMOTHY JAMES,BRAUTESETH,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
ECONOMIC FREEDOM FIGHTERS,Regional: KwaZulu-Natal,1,MAKOTI SIBONGILE,KHAWULA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Regional: KwaZulu-Natal,1,MANGAQA ALBERT,MNCWANGO,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Regional: KwaZulu-Natal,2,NAREND,SINGH,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Regional: KwaZulu-Natal,3,MKHULEKO,HLENGWA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
INKATHA FREEDOM PARTY,Regional: KwaZulu-Natal,4,ALFRED MKHIPHENI,MPONTSHANE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Regional: KwaZulu-Natal,1,MALIYAKHE LYMON,SHELEMBE,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Regional: KwaZulu-Natal,2,MANDLENKOSI SICELO,MABIKA,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
NATIONAL FREEDOM PARTY,Regional: KwaZulu-Natal,3,AHMED MUNZOOR,SHAIK EMAM,National Assembly,Member-elect,2014-05-16,2014-05-21,KwaZulu-Natal
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,1,ZONDI SILENCE,MAKHUBELE,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,2,MOLOKO STANFORD ARMOUR,MAILA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,3,JEROME JOSEPH,MAAKE,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,4,MOTSWALEDI HEZEKIEL,MATLALA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,5,MAMAGASE ELLECK,NCHABELENG,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,6,DUDU HELLEN,MATHEBE,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,7,ELIZABETH KOENA MMANOKO,MASEHELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,8,NKHENSANI KATE,BILANKULU,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,9,LIVHUHANI,MABIJA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,10,PINKY SHARON,KEKANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,11,MALUSI STANLEY,MOTIMELE,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,12,MADIPOANE REFILOE MOREMADI,MOTHAPO,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,13,REMBULUWANI MOSES,TSELI,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,14,RISIMATI THOMPSON,MAVUNDA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,15,SHELA PAULINA,BOSHIELO,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Limpopo,16,THOMAS,MAKONDO,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
DEMOCRATIC ALLIANCE,Regional: Limpopo,1,CHOLOANE DAVID,MATSEPE,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Regional: Limpopo,1,THILIVHALI ELPHUS,MULAUDZI,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Regional: Limpopo,2,NGWANAMAKWETLE RENEILOE,MASHABELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,1,DORRIES EUNICE,DLAKUDE,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,2,LYDIA SINDISIWE,CHIKUNGA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,3,DUDUZILE PROMISE,MANANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,4,MMATLALA GRACE,BOROTO,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,5,DALTON HLAMALANI,KHOSA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,6,HLAKUDI FRANS,NKOANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,7,ELVIS KHOLWANA,SIWELA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,8,JAMES JIM,SKOSANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,9,NOKHAYA ADELAIDE,MNISI,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,10,GOODWILL SBUSISO,RADEBE,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,11,MOGOTLE FRIDDAH,NKADIMENG,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,12,DERICK,MNGUNI,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: Mpumalanga,13,BONGANI THOMAS,BONGO,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
DEMOCRATIC ALLIANCE,Regional: Mpumalanga,1,Hendrik Christiaan Crafford,Krüger,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
ECONOMIC FREEDOM FIGHTERS,Regional: Mpumalanga,1,NICHOLOUS PRO,KHOZA,National Assembly,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Regional: North West,1,MOHLOPI PHILLEMON,MAPULANE,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,2,NTHIBANE REBECCA,MOKOTO,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,3,JOHANNA MMULE,MALULEKE,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,4,GIRLY NAMHLA,NOBANDA,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,5,HELLEN BOIKHUTSO,KEKANA,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,6,SAMUEL GAAESI,MMUSI,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,7,ITUMELENG,MOSALA,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,8,MAPULE VERONICA,MAFOLO,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: North West,9,ABRAM MOLEFE,MUDAU,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Regional: North West,1,JOHANNA,STEENKAMP,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Regional: North West,2,MPONENG WINSTON,RABOTAPI,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Regional: North West,1,NOKULUNGA PRIMROSE,SONTI,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Regional: North West,2,ABINAAR MODIKELA,MATLHOKO,National Assembly,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Regional: Northern Cape,1,SOLOMON PATRICK,MABILO,National Assembly,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Regional: Northern Cape,2,JOHANNES RASERITI,TAU,National Assembly,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Regional: Northern Cape,3,JOYCE VUYISWA,BASSON,National Assembly,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Regional: Northern Cape,4,SHAROME RENAY,VAN SCHALKWYK,National Assembly,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Regional: Northern Cape,1,KAREN,DE KOCK,National Assembly,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,1,ZOLISWA ALBERTINA,KOTA-FREDERICKS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,2,MZIWAMADODA UPPINGTON,KALAKO,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,3,FREDDIE,ADAMS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,4,FRANCOIS,BEUKMAN,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,5,TANDI,MAHAMBEHLALA,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,6,BONGANI MICHAEL,MKONGI,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,7,MANDISA OCTOVIA,MATSHOBA,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
