current_name,correct_name,lga_areas
OKENE/OGORI-MAGONGO,OKENE / OGORI-MAGONGO,"Okene, Ogori/Magongo"
Yola North/Yola South & Girei,Yola North / Yola South & Girei,"Yola North, Yola South, Girie"
"Isin, Irepodun, Ekiti & Oke-Ero","Isin, Irepodun, Ekiti & Oke-Ero","Isin, Irepodun, Ekiti, Oke-Ero"
Eden North,Eden North,Ede North
Ibadan North,Ibadan North,IbadanNorth
Egbado South/Ipokia,Egbado South / Ipokia,"EgbadoSouth, Ipokia"
ONDO EAST/WEST,ONDO EAST / WEST,"Ondo East, Ondo West"
Ayedire / Iwo / Ola-Oluwa,Ayedire / Iwo / Ola-Oluwa,"Ayedire, Iwo, Ola-Oluwa"
Okitipupa/Irele,Okitipupa / Irele,"Okitipupa, Irele"
"Ikot Abasi, Mkat Enin, Eastern Obolo","Ikot Abasi, Mkat Enin, Eastern Obolo","Ikot-Aba, Mkpat Enin, Eastern Obolo"
Donga/Ussa/Takum/Special Area,Donga / Ussa / Takum / Special Area,"Donga, Ussa, Takum"
Tudun-Wada/Doguwa,Tudun-Wada / Doguwa,"Tudun-Wada, Doguwa"
Ilorin East/Ilorin South,Ilorin East / Ilorin South,"Ilorin East, Ilorin South"
Nangere/Potiskum,Nangere / Potiskum,"Nangere, Potiskum"
Dange-Shuni/Bodinga/Tureta,Dange-Shuni / Bodinga / Tureta,"Dange-Shuni, Bodinga, Tureta"
Edu/Moro/Patigi,Edu / Moro / Patigi,"Edu, Moro, Pategi"
Biu / Bayo / Kwaya-Kusar / Shani,Biu / Bayo / Kwaya-Kusar / Shani,"Biu, Bayo, Kwaya Kusar, Shani"
Bauchi,Bauchi,Bauchi
Dala,Dala,Dala
Surulere Fed. Const. II,Surulere Fed. Const. II,Surulere
Maiyama/koko - Besse,Maiyama / koko - Besse,"Maiyama, Koko/Bes"
MANGU/BOKKOS,MANGU / BOKKOS,"Mangu, Bokkos"
Yabo/Shagari,Yabo / Shagari,"Yabo, Shagari"
Fagge,Fagge,Fagge
Ikwerre/Emohua,Ikwerre / Emohua,"Ikwerre, Emuoha"
Demsa/Numan/Lamurde,Demsa / Numan / Lamurde,"Demsa, Numan, Lamurde"
Arochukwu/Ohafia,Arochukwu / Ohafia,"Arochukw, Ohafia"
Nsukka/Igboeze,Nsukka / Igboeze,"Nsukka, Igbo-eze South"
Ogba/Egbema/Ndoni/Ahoada West,Ogba / Egbema / Ndoni / Ahoada West,"Ogba, Egbema, Ndoni, Ahoada West"
MAGAMA/RIJAU,MAGAMA / RIJAU,"Magama, Rijau"
Katagum,Katagum,Katagum
OTUKPO/OHIMINI,OTUKPO / OHIMINI,"Oturkpo, Ohimini"
Ayedaade / Irewole / Isokan,Ayedaade / Irewole / Isokan,"Ayedaade, Irewole, Isokan"
KABBA-BUNU/IJIMU,KABBA-BUNU / IJIMU,"Kabba/Bu-BUNU, Ijumu"
Somolu,Somolu,Shomolu
Aguata,Aguata,Aguata
Machina/Nguru/Karasuwa/Yusufari,Machina / Nguru / Karasuwa / Yusufari,"Machina, Nguru, Karasuwa, Yusufari"
Ungogo/Minjibir,Ungogo / Minjibir,"Ungogo, Minjibir"
Ado-Odo / Otta,Ado-Odo / Otta,"Ado-Odo, Otta"
Dabbatta/Makoda,Dabbatta / Makoda,"Dabbatta, Makoda"
EMURE/GBONYIN/EKITI EAST,EMURE / GBONYIN / EKITI EAST,"Emure/Ise/Orun, Gboyin, EkitiEas"
Eleme / Oyigbo / Tai,Eleme / Oyigbo / Tai,"Eleme, Oyigbo, Tai"
Kazaure/Roni Gwiwa,Kazaure / Roni Gwiwa,"Kazaure, Roni Gwiwa"
Eket/Onna/Esit Eket/Ibeno,Eket / Onna / Esit Eket / Ibeno,"Eket, Onna, Esit Eket, Ibeno"
Kaduna North,Kaduna North,Kaduna North
Bagudo / Suru,Bagudo / Suru,"Bagudo, Suru"
Bakura/Maradun,Bakura / Maradun,"Bakura, Maradun"
Orumba South,Orumba South,OrumbaSo
Langtang North/Langtang South,Langtang North / Langtang South,"Langtang North, Langtang South"
Kwande/Ushongo,Kwande / Ushongo,"Kwande, Ushongo"
Mbaitoli/Ikeduru,Mbaitoli / Ikeduru,"Mbaitoli, Ikeduru"
Ahoada East/Abua/Odual,Ahoada East / Abua / Odual,"Ahoada East, Obowo, Odual"
ZurmiI/Shinkafi,ZurmiI / Shinkafi,"Zurmi, Shinkafi"
KALTUNGO/SHONGOM,KALTUNGO / SHONGOM,"Kaltungo, Shomgom"
Jos South/Jos East,Jos South / Jos East,"Jos South, Jos East"
Port Harcourt Fed. Const.2,Port Harcourt Fed. Const.2,Port Harcourt
Okrika / Ogu / Bolo,Okrika / Ogu / Bolo,"Okrika, Agaie, Bolo"
Sagamu/Ikenne / Remo North,Sagamu / Ikenne / Remo North,"Sagamu, Ikenne, Remo-North"
Kaduna South,Kaduna South,Kaduna South
Idemili North/Idemili,Idemili North / Idemili,"Idemili South North, Idemili South"
